Date, Open, High, Low, Close, Volume
2021-04-11,411.4696,414.4962,405.6662,409.9696,76192303.39
2021-04-13,237.5665,254.3331,236.8864,254.1064,133958566.6
2021-04-14,256.8998,260.2631,242.6764,244.0764,147052443.2
2021-04-15,247.6997,247.8964,240.4364,246.2831,83546781.06
2021-04-16,242.8831,249.8031,241.5331,246.5931,83938668.46
2021-04-19,239.8664,241.7997,230.5998,238.2098,119058814.1
2021-04-20,239.1398,245.7497,236.8948,239.6631,106827228.3
2021-04-21,234.9231,248.2797,232.6664,248.0397,93646621.58
2021-04-22,247.1664,251.2564,239.3464,239.8964,106770897.3
2021-04-23,239.9331,245.7864,238.4864,243.1331,85241755.82
2021-04-26,246.9997,249.7664,244.2015,246.0664,93115591.03
2021-04-27,239.3198,241.3331,234.4498,234.9131,88311098.02
2021-04-28,232.1364,236.1664,231.1998,231.4664,66813222.62
2021-04-29,233.1698,234.0831,222.8332,225.6664,86536431.17
2021-04-30,222.5298,238.4898,222.0464,236.4798,122276284.4
2021-05-01,241.2197,246.9464,239.7331,245.0364,96735610.8
2021-05-02,281.6664,288.2564,279.6564,284.0764,55699981.04
2021-05-03,208.6865,209.2804,179.8298,199.3165,268189662.5
2021-05-04,235.9031,236.0531,228.2331,230.3498,125528440.8
2021-05-05,227.0198,228.4316,222.4465,223.6464,65705741.47
2021-05-08,238.6664,240.3164,237.1364,238.2098,38758960.39
2021-05-10,261.5984,265.7698,258.0664,260.1964,55297950.62
2021-05-11,409.3329,413.2896,402.6662,407.3629,64886500.61
2021-05-13,200.5148,202.1531,186.5498,190.5631,132554904.1
2021-05-14,194.4698,197.6231,190.1532,196.5798,100112681.3
2021-05-17,191.8508,196.5765,187.0665,192.2765,96743509.81
2021-05-18,189.3331,198.7498,187.7931,192.6231,110491813.1
2021-05-19,184.1831,188.7365,182.3265,187.8198,118735317.7
2021-05-20,191.6665,196.2831,190.3565,195.5931,92463453.35
2021-05-21,198.7031,198.8932,193.3331,193.6265,78091881.37
2021-05-24,193.8665,204.8265,191.2165,202.1465,103674378.0
2021-05-25,202.4365,204.6631,198.5698,201.5631,84017871.55
2021-05-26,202.5198,208.7231,200.4998,206.3765,85918016.53
2021-05-27,206.7465,210.3764,205.4032,210.2831,79111858.43
2021-05-28,209.4998,211.8631,207.4598,208.4064,68211188.08
2021-06-01,252.8297,257.9997,249.6997,251.9931,134100046.7
2021-06-04,230.0998,232.1831,227.1231,230.5398,84815608.38
2021-06-05,226.9198,227.0064,216.6664,221.1798,83353943.85
2021-06-07,227.2369,227.9998,217.1332,219.8598,69853413.79
2021-06-08,237.2998,238.7764,232.5431,233.0331,46869195.84
2021-06-10,258.7331,262.2197,257.7397,260.9164,43898352.74
2021-06-12,333.8363,340.5463,316.833,336.3363,81663202.09
2021-06-14,204.0765,208.4964,203.0598,205.8965,61272003.85
2021-06-15,205.5631,205.5965,199.4098,199.7865,53292505.53
2021-06-16,199.1781,202.8331,197.8331,201.6231,66432462.22
2021-06-17,200.6291,207.1565,200.4465,205.5331,68104120.96
2021-06-18,204.4565,209.4498,203.9331,207.7698,73682806.78
2021-06-21,208.1598,210.4631,202.9598,206.9431,74438285.56
2021-06-22,206.0831,209.5229,205.1665,207.9032,57476732.89
2021-06-23,210.6664,219.0678,210.0131,218.8564,93297784.22
2021-06-24,224.9964,232.5398,222.5364,226.6064,137947304.7
2021-06-25,229.8598,231.2698,222.8998,223.9564,97490234.58
2021-06-28,223.8798,231.5664,223.4398,229.5731,64884547.61
2021-06-29,228.2164,229.1697,225.2964,226.9198,52143987.33
2021-06-30,226.5898,230.9365,226.0464,226.5665,56774636.16
2021-07-01,259.2098,272.3297,258.3998,272.013,154497008.0
2021-07-04,228.9998,230.4598,222.6131,223.6564,78928378.24
2021-07-05,221.9331,229.9998,220.0731,224.1231,70407577.36
2021-07-06,197.2748,203.3331,194.2931,201.7098,67631110.47
2021-07-07,221.4231,221.8998,212.7731,214.8831,56375941.74
2021-07-09,246.6664,253.3997,246.4197,250.9731,60119552.64
2021-07-10,261.8197,268.333,261.1264,264.5364,57587397.01
2021-07-12,348.0663,352.5576,342.2696,350.583,56084635.44
2021-07-13,228.7731,231.0931,222.0984,222.8464,62898335.54
2021-07-14,223.5831,226.2031,217.6131,217.7931,64923634.65
2021-07-15,219.4631,222.0464,212.6264,216.8664,60628773.18
2021-07-16,218.2264,218.8997,214.0665,214.7398,49112961.18
2021-07-19,209.9631,215.7331,207.0965,215.4064,63891336.57
2021-07-20,217.3298,220.797,213.5001,220.1664,46461435.41
2021-07-21,219.8698,221.6197,216.7631,218.4298,41860063.62
2021-07-22,218.814,220.7231,214.8665,216.4198,45317237.22
2021-07-23,215.4531,216.2664,212.4332,214.4598,43814862.66
2021-07-26,216.9898,222.7331,215.7031,219.2064,76009762.2
2021-07-27,221.1331,222.1664,209.0798,214.9264,98439969.57
2021-07-28,215.6648,218.3231,213.1331,215.6598,48019853.04
2021-07-29,216.5964,227.8964,216.2664,225.7831,91184018.01
2021-07-30,223.9191,232.5098,222.9998,229.0665,88969322.71
2021-08-01,285.333,294.8297,279.463,293.3397,225166827.6
2021-08-02,289.8897,292.5897,284.9164,287.8064,60485226.03
2021-08-03,200.1831,206.7081,186.2631,187.6665,155361044.9
2021-08-04,225.7931,229.8497,223.8814,227.9331,71773058.79
2021-08-06,207.6698,207.6965,198.4998,201.1965,78160305.44
2021-08-07,209.4564,218.1431,206.8198,217.6031,68320031.19
2021-08-09,253.8598,254.8164,246.9242,251.2897,56379175.75
2021-08-10,265.4031,265.4598,260.3031,261.8298,50215852.32
2021-08-11,383.2613,398.9996,377.6663,387.6463,100337261.6
2021-08-12,350.903,357.4596,344.333,356.3196,41906410.67
2021-08-13,241.2364,243.2997,238.1131,239.0564,50194459.3
2021-08-16,235.0231,236.4998,225.4664,228.7231,69309969.22
2021-08-17,224.2198,224.8598,216.2798,221.9031,71163911.15
2021-08-18,223.2491,231.9231,223.1164,229.6631,61048206.61
2021-08-19,226.0698,228.8498,222.5298,224.4898,42940511.74
2021-08-20,227.6164,230.7097,224.5665,226.7531,44525653.4
2021-08-23,228.4804,237.3764,226.9166,235.4331,60794640.35
2021-08-24,236.8931,238.4064,234.2131,236.1631,39249247.9
2021-08-25,235.6764,238.9898,234.6664,237.0665,37936719.53
2021-08-26,236.1031,238.4664,232.5398,233.7198,39642908.31
2021-08-27,234.9998,238.3331,234.0331,237.3064,41501323.24
2021-08-30,238.2381,243.6664,237.5764,243.6364,55812721.16
2021-08-31,244.3331,246.7964,242.1464,245.2397,62566382.19
2021-09-02,285.0397,286.5997,280.583,283.1531,45472997.38
2021-09-03,202.7265,226.0298,198.4032,224.5264,202570195.1
2021-09-04,225.9231,226.9898,223.1431,225.6731,64311337.01
2021-09-06,200.7231,203.9298,199.2098,199.5931,49753755.84
